location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
14537,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14540,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
14651,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
14701,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
14744,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
14786,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0
14831,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
14836,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
14855,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0
14899,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,6.0
14994,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
15028,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
15031,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
15049,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,3.0,5.0,7.0,7.0,7.0
15055,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
15063,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15065,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0
15069,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
15075,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15173,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0
15264,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0
15348,8.0,8.0,8.0,8.0,8.0,8.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0
15363,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0
15369,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
41901,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
41906,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
41915,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
51084,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0
55862,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0
55864,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0
57271,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0
61306,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0
61319,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0
61948,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0
61957,8.0,8.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0
62880,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0
63449,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
66283,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
67740,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0
70404,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0
70406,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,4.0,3.0,6.0,6.0,6.0,6.0
70417,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,4.0,5.0,4.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0
70421,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0
71966,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0
71977,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0
71981,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0
72768,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,4.0,4.0,1.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,6.0,8.0,7.0,7.0,7.0,7.0
72770,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0
74807,8.0,8.0,8.0,8.0,8.0,7.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0
74815,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,6.0,5.0,7.0,7.0
74817,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0
74831,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
76002,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
76005,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0
76788,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0
76789,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
78814,8.0,8.0,8.0,8.0,8.0,8.0,7.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0
78819,6.0,6.0,6.0,6.0,6.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
78823,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0
80951,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
80960,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
83698,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
84215,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0
86170,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0
86205,9.0,9.0,9.0,9.0,9.0,9.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,6.0,8.0,8.0,9.0,9.0,9.0
86208,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0
86209,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
86210,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,3.0,3.0,3.0,2.0,0.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0
86223,10.0,10.0,10.0,10.0,10.0,10.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,7.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0
87932,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0
87936,10.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,8.0,8.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0
87949,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
87971,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
87975,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
87981,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0
89300,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
89800,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0
90579,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0
91620,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
93586,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0
93592,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
93593,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
94444,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0
94450,11.0,11.0,11.0,11.0,11.0,10.0,6.0,4.0,4.0,4.0,4.0,6.0,4.0,6.0,9.0,8.0,7.0,6.0,9.0,11.0,11.0,11.0,12.0,12.0
94456,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,5.0,7.0,7.0,8.0
94461,9.0,9.0,9.0,9.0,9.0,9.0,8.0,6.0,6.0,7.0,4.0,2.0,3.0,2.0,3.0,5.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0
94463,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0
94466,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
95021,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
95025,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
95028,11.0,11.0,11.0,11.0,11.0,11.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0
96190,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0
96208,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0
96209,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,7.0,3.0,3.0,2.0,2.0,2.0
96211,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
96215,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
98703,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
98705,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0
98706,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
102043,6.0,6.0,6.0,6.0,6.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,6.0,6.0
102072,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0
102159,9.0,9.0,9.0,9.0,9.0,9.0,6.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0
102175,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0
103942,11.0,11.0,11.0,10.0,10.0,10.0,8.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,8.0,7.0,7.0,8.0,8.0,9.0
104481,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
105826,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
